#time =  2.1800250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  8.0000000E+00
  4.010579434E-01  4.612742562E+02  9.931447727E-01  2.072391050E+01  5.762000178E-03 -1.810568455E-03  4.410425139E-01  5.284290156E-01  2.866198964E-01 -1.644358758E-01
  4.158340226E-01  4.782688703E+02  9.957227571E-01  2.077770519E+01  7.462901611E-03 -9.424901656E-04  3.395952289E-01  4.360852862E-01  2.247311051E-01 -1.214812920E-01
  4.311219065E-01  4.958521332E+02  9.976801988E-01  2.081855104E+01  8.761310807E-03 -5.734407534E-04  2.589408607E-01  3.542345907E-01  1.742467592E-01 -8.603602336E-02
  4.469375262E-01  5.140423681E+02  9.991042303E-01  2.084826625E+01  9.666436689E-03 -5.185865511E-04  1.933135291E-01  2.820753381E-01  1.297291576E-01 -5.800904262E-02
  4.632971766E-01  5.328583166E+02  1.000082151E+00  2.086867248E+01  1.019666554E-02 -5.408454825E-04  1.433697914E-01  2.202552357E-01  9.291431495E-02 -3.695396336E-02
  4.802175150E-01  5.523191367E+02  1.000700467E+00  2.088157485E+01  1.038579732E-02 -4.687264547E-04  1.090747893E-01  1.695311797E-01  6.606998100E-02 -2.209475075E-02
  4.977155577E-01  5.724443999E+02  1.001043116E+00  2.088872490E+01  1.028657924E-02 -2.688377533E-04  8.643682064E-02  1.297492583E-01  4.836518510E-02 -1.239526616E-02
  5.158086769E-01  5.932540865E+02  1.001188870E+00  2.089176633E+01  9.969412359E-03 -4.849844656E-05  6.889030687E-02  9.941974869E-02  3.603236611E-02 -6.657950432E-03
  5.345145955E-01  6.147685803E+02  1.001208220E+00  2.089217012E+01  9.513642881E-03  2.922361380E-05  5.238990650E-02  7.614933338E-02  2.582872298E-02 -3.611531115E-03
  5.538513808E-01  6.370086617E+02  1.001160725E+00  2.089117904E+01  8.988487487E-03 -8.256497293E-05  3.994167297E-02  5.810045954E-02  1.880223793E-02 -1.905209055E-03
  5.738374381E-01  6.599954989E+02  1.001094807E+00  2.088980354E+01  8.420513934E-03 -9.276157479E-05  3.551580010E-02  4.642301770E-02  1.698585378E-02  1.402557274E-04
  5.944915007E-01  6.837506384E+02  1.001038136E+00  2.088862097E+01  7.798426447E-03 -9.674931155E-06  2.521672472E-02  3.493893316E-02  1.042660753E-02  6.655394809E-05
  6.158326211E-01  7.082959930E+02  1.000946607E+00  2.088671105E+01  7.141290893E-03 -2.781278154E-05  1.869193409E-02  2.563828554E-02  6.860165196E-03 -4.753449711E-04
  6.378801582E-01  7.336538284E+02  1.000839236E+00  2.088447055E+01  6.468616097E-03 -8.320011854E-07  1.498961085E-02  2.036489033E-02  5.405346237E-03 -2.360461083E-04
  6.606537649E-01  7.598467480E+02  1.000732123E+00  2.088223542E+01  5.788457282E-03  1.566183170E-05  1.223614202E-02  1.652412510E-02  4.448680927E-03 -3.331333281E-06
